movieId,genre
W100,Advt
WWo10,Horr
WWo20,CnRb
Z2310,Musc
EMH10,Dram
GLp10,Epic
GLp15,Dram
GLp17,Dram
GLp30,Advt
FeL1,cubist
JR1,Dram
JR5,Dram
JR20,Dram
JR25,Comd
JR35,Dram
JR50,Romt
JR50,Dram
JR60,Hist
JR60,Dram
JR65,Dram
JR70,Dram
JR70,bleak satire
JR75,Horr
JR77,Dram
JR79,Dram
JR81,Comd
JR85,Dram
JR92,Dram
JR94,Musc
JR96,Romt
PlL1,"Susp "
PlL2,Susp
SET1,Dram
SET8,Dram
SE1,txx
SE4,Dram
SE6,Docu
SE8,Docu
SE8,propaganda
SE10,Docu
SE15,Docu
SE20,BioP
SE28,Docu
SE25,BioP
SE26,BioP
SE27,BioP
DBu10,Dram
DBu10,Romt
WKH1,Dram
WKH10,Dram
WKH14,Dram
WKH20,Dram
WKH30,Dram
WKH35,Dram
WKH40,Dram
WKH44,Dram
WKH45,Dram
WKH50,Dram
WKH52,Comd
WKH60,Dram
AES10,Comd
AES11,Comd
AES70,Comd
AES74,Comd
AES80,Comd
AES85,Comd
AES90,Comd
AES90,Musc
AES100,Musc
AJG50,Comd
ArF10,Actn
ChR10,Comd
ChR13,Musc
ChR50,Comd
ChR60,Comd
ChR80,Comd
CLa40,Comd
CLa60,Comd
CLa65,Comd
CLa70,Comd
CLa75,Comd
CLa80,Comd
CLa90,Comd
CLa95,Comd
CLa100,Comd
CLa110,Comd
CLa114,Comd
CLa115,Comd
CLa117,Comd
CLa120,Comd
CLa121,Comd
CLa125,Comd
CLa127,Comd
CLa135,Comd
CLa150,Comd
EAD10,Dram
EG3,Dram
EG10,Comd
EG10,Dram
EG11,Dram
EG16,Actn
EG17,Dram
EG18,Dram
EG23,Romt
EG25,Dram
EG20,Dram
EG20,Camp
EG27,Dram
EG28,Musc
ESl10,Dram
ESl30,Dram
GLC2,Comd
GLC3,Dram
GLC4,Dram
GLC6,Dram
GLC7,Dram
GLC9,Romt
GLC11,"Comd "
GLC12,Comd
GLC13,Dram
GLC13,Comd
IGB10,Comd
IGB40,Myst
IGB40,Comd
IGB45,CnRb
IGB50,Comd
IrC51,Myst
IrC51,Comd
IrC54,Advt
IrC55,Advt
IrC56,West
IrC60,West
IrC67,Romt
IrC73,Romt
IrC76,BioP
IrC77,Dram
IrC79,Musc
IrC79,BioP
IrC81,Musc
IrC86,Musc
IrC95,Comd
LGs10,Romt
LM2,Comd
LM9,Dram
LM10,Dram
LM11,Advt
LM11,Romt
LM15,Musc
LM17,Dram
LM20,Dram
LM22,Dram
LM25,Dram
LM26,Dram
LM29,Dram
LM38.,Dram
LM100,Susp
LM110,CnRb
MoB10,Dram
PSl10,Comd
S5,Dram
S6,Dram
S10,Romt
S12,Dram
S14,Dram
S14,Musc
S15,BioP
S17,Musc
S21,Dram
S25,Epic
ThD50,Susp
WW30,Dram
WW41,Dram
WW42,Dram
WW43,Dram
WW44,Dram
WW45,Romt
WW47,West
WW54,Dram
WW60,Docu
WW61,Docu
WW63,Dram
WW64,Dram
WW65,CnRb
WW66,Dram
WW67,Romt
WW73,Dram
WW80,West
WW82,Dram
WW84,Comd
WW85,Musc
WW87,Susp
ACa40,Dram
ACa50,Horr
ACa60,Dram
ACa60,Comd
AM15,Dram
AM16,Musc
AM18,Dram
AM21,Dram
AM23,Advt
AM27,Dram
AM31,Musc
AM36,Fant
ASR15,Advt
ASR40,Myst
ASR65,Actn
EBS02,SciF
EBS03,SciF
EBS30,Advt
EBS50,Advt
EBS60,Advt
EBS90,Advt
FC1,Comd
FC3,Comd
FC15,"Comd "
FC17,"BioP "
FC21,Comd
FC22,Dram
FC23,Dram
"FC24 ",Comd
FC25,Romt
FC25,Musc
FC26,Romt Comd
FC27,Romt
FC27,Advt
FC34,Myst
FC35,Fant
FC35,Romt
FC36,Dram
FC38,Comd
FC38,Musc
FC40,Comd
FC101,ScFi
FC101,religious
GMy20,Dram
Gmy25,Romt
Gmy35,CnRb
GMy45,Dram
GuB10,Actn
HH9,Advt
HH12,Actn
HH13,Dram
HH14,Dram
HH15,Comd
HH21,Comd
HH22,Advt
HH23,Comd
HH25,Comd
HH27,Comd
HH28,Susp
HH28,Noir
HH29,Musc
HH30,Epic
HH30,West
HH31,Comd
HH31,Romt
HH34,Comd
HH34,Romt
HH35,Epic
HH36,West
HH37,Advt
HH41,West
HH42,West
LlB21,Dram
LlB35,Musc
LlB36,Musc
LlB50,Musc
LlB53,Dram
LlB57,Susp
LlB57,Comd
LlB61,Actn
LlB62,West
LlB64,Dram
LlB67,BioP
LlB68,Dram
LlB68,CnRb
LlB83,Romt
LlB85,BioP
LlB85,Musc
LlB90,"Comd "
LlB95,Musc
LlB95,BioP
LlB97,Comd
LlB100,Musc
LlB100,Comd
MlW5,Dram
MlW10,Musc
MSC10,Comd
RlW10,Comd
RlW10,Dram
RlW10,Susp
RlW10,Fant
RVL6,Myst
RVL10,Advt
RVL14,"Advt "
RVL16,Susp
RVL17,BioP
RVL25,Dram
RVL28,Horr
RVL32,Advt
RyT40,West
RyT55,Susp
VsP10,Dram
WlD5,Dram
WlD5,Romt
WlD6,Romt
WlD7,Romt
WlD8,Romt
WlD15,Romt
WlD18,Susp
WlD19,Susp
WlD20,Romt
WlD24,Fant
WlD25,"BioP "
WlD29,Susp
WlD34,Advt
WlD35,BioP
WlD36,Horr
WlD39,Dram
WlD43,Romt
WlD45,Dram
WlD49,Romt
WlD49,Fant
WlD51,Actn
WlD51,Romt
WlD53,Susp
WlD54,Disa
WlD58,Dram
WlD61,Dram
WlD65,BioP
WlD65,Musc
Z5510,Musc
Z5512,Musc
ByH5,Dram
ByH8,Fant
ByH10,Advt
ByH12,Advt
ByH13,ScFi
ByH15,Advt
ByH15,Romt
ByH26,ScFi
CBm10,Comd
CBm11,Comd
CBm60,Comd
DaB3,Musc
DaB4,ScFi
DaB8,Romt
DaB9,Romt
DaB11,Musc
DaB13,Musc
DaB17,Comd
DaB21,Musc
DaB23,Comd
DaB28,Musc
DaB29,Musc
DaB30,Musc
DaB31,Musc
DaB32,Musc
DaB33,Musc
DAz5,Comd
DAz6,Dram
DAz21,Romt
DAz23,Dram
DAz35,Romt
DAz35,Musc
DMD25,Docu
DMD35,Dram
DMD40,Advt
DMD50,Advt
DzV60,Dram
FTu7,Comd
FTu10,Comd
FTu15,Romt
FTu15,Comd
FTu19,Musc
FTu20,Musc
FTu20,Comd
Ftu23,Musc
Ftu25,Susp
FTu40,Comd
FTu50,Dram
FTu50,Actn
FTu60,Romt
FTu60,Comd
HDA6,Dram
HDA7,Comd
HoB25,Dram
HoB50,Myst
HoB50,Comd
JTg4,Myst
JTg4,Comd
JTg5,Advt
JTg7,Myst
JTg7,Comd
JTg13,Advt
LoM2,Dram
LoM6,Dram
LoM10,Dram
LoM20,Actn
LwS90,West
LwS130,Myst
LwS130,Comd
LwS166,Dram
LwS180,Dram
LwS190,Musc
MLR4,CnRb
MLR6,Comd
MLR6,Dram
MLR7,Dram
MLR8,Dram
MLR12,Dram
MLR14,Musc
MLR16,Dram
MLR17,Dram
MLR18,Advt
MLR22,Romt
MLR23,Dram
MLR27,Dram
MLR29,Docu
MLR29,Actn
MLR30,Romt
MLR31,Dram
MLR35,Epic
MLR39,BioP
MLR40,Musc
MLR42,Romt
MLR43,Camp
MLR43,Horr
MLR43,Susp
MLR50,Advt
MLR50,Dram
RFl3,Musc
RFl5,Dram
RFl30,Dram
RFl33,Dram
RFl75,Advt
RFl100,Susp
RFl101,Susp
RFl102,Susp
RFl103,Susp
RFl104,Susp
REn6,Musc
REn18,Dram
REn20,Comd
REn30,Musc
REn32,"Romt "
REn45,Dram
REn50,Dram
REn53,West
REn55,BioP
REn60,Dram
RWa10,Romt
RWa12,Romt
RWa50,Romt
RWa65,Romt
RWa72,Comd
RWa72,Myst
RWa90,Advt
RZL15,Dram
RZL17,Musc
RZL19,Comd
RZL20,Musc
RZL20,BioP
RZL22,Dram
RZL24,Musc
RZL25,Musc
RZL26,Dram
RZL28,Musc
RZL31,Dram
RZL37,Musc
RZL39,Musc
TeW10,Comd
TeW15,Comd
VrS24,BioP
VrS24,Dram
VrS25,Comd
VrS25,Dram
VrS28,Dram
WRu10,Docu
WLa14,Romt
WLa18,Romt
WLa19,Fant
WLa24,Romt
WLa24,Musc
WLa27,Musc
WLa29,Musc
WLa29,Comd
WLa38,Comd
WLa41,Musc
WLa42,Musc
WLa43,Comd
WLa45,Musc
WLa50,Comd
YOz7,Dram
YOz8,Dram
YOz9,Dram
YOz10,Comd
YOz11,Dram
YOz12,Dram
YOz15,Dram
YOz20,Dram
YOz22,Dram
YOz75,Dram
AA13,Comd
AA29,Comd
AA37,Susp
AA38,Comd
AA41,Dram
FeF12,Advt
FeF8,Comd
FeF8,Musc
FeF85,Horr
GRv10,Dram
GzB1,Susp
HLa35,Myst
HLa35,Comd
